tweet,sentiment
['selebgram'],1
"['lapar', 'makan', 'monyet', 'binatang', 'larangan', 'tertutup', 'berdiri', 'berbahaya', 'terima', 'endorse', 'onigiri']",0
"['terguna', 'akun', 'tuyul', 'akun', 'asli', 'mengganggap', 'perkiraan', 'follow', 'mengganggap', 'orang', 'tebak', 'quiz', 'ditutup', 'jam', 'malam', 'endorse', 'indomie', 'acara', 'lucu']",1
"['ekspresi', 'ya', 'menilai', 'terlambat', 'vaksin', 'pacar', 'swab', 'endorse', 'tabung', 'oksigen', 'susu', 'dll']",1
"['kakak', 'temenin', 'pemotretan', 'yuk', 'kakak', 'temenin', 'endorse', 'baju', 'kakak', 'endorse', 'bareng', 'kakak', 'lebih baik', 'temenin', 'kakak', 'duduk', 'gapapa', 'kawan', 'pacaran', 'influencer']",1
"['mc donalds', 'kolaborasi', 'bts', 'doang', 'teman', 'kolaborasi', 'army', 'orang', 'menganggap', 'gaada', 'beda', 'ocehan', 'ocehan', 'ocehan', 'ya', 'heran', 'orang', 'army', 'nganggep', 'kejadian', 'orang', 'beli', 'barang']",1
"['permisi', 'kakak', 'menerima', 'tawaran', 'endorse', 'ocehan', 'ocehan', 'ocehan', 'situs', 'judi', 'menakutkan', 'banget']",0
"['berita', 'bicu', 'daya', 'jual', 'produk', 'menparekraf', 'endorse', 'produk', 'menparekraf', 'medan']",1
"['menyindir', 'orang', 'istilah', 'endorse', 'covid', 'jerinxsid', 'jerinxsid', 'penjelasan', 'covid', 'covid']",0
"['istora', 'menikmati', 'seburu', 'atmosfer', 'tanding', 'satunya', 'endorse', 'jalan']",1
"['jasa', 'jasa', 'jasa', 'bingung', 'terguna', 'baju', 'menongkrong', 'coba', 'gaya', 'santai', 'gaya', 'selebgram']",1
"['nfts', 'solananfts', 'sol', 'metaverse', 'metaverse', 'nft']",1
"['nyata', 'ulasan', 'freitag', 'dibawa', 'mancing', 'ayo', 'freitag', 'dowoon', 'total', 'endorse']",1
"['pijat', 'pijat', 'jakarta', 'antipati', 'murni', 'ulasan', 'pengalaman', 'pribadi', 'endorse', 'pengalaman', 'orang', 'berbeda', 'kontak', 'langsung', 'menghubungi', 'bersangkut']",1
"['jaket', 'sweter', 'merekomendasi']",1
"['ulasan', 'kasih', 'kakak', 'netizen', 'promosi', 'endorse']",1
"['uang', 'influencer', 'perempuan', 'suka', 'gaya', 'korea', 'gapernah', 'berpakaian', 'tiktok', 'endorse']",1
"['penggemar', 'pocky', 'inspirasi', 'endorse', 'pocky', 'pasrah', 'menyerah', 'kebakaran']",1
"['definisi', 'minggu', 'ya', 'besok', 'minggu', 'memburu', 'foto', 'pekerjaan', 'endorse', 'seminggu']",1
"['penilaian', 'bersifat', 'subjektif', 'endorse', 'omong', 'coba']",1
"['endorse', 'anjing']",0
"['tweet', 'mempromosikan', 'endorse', 'dipost', 'beneran', 'enak', 'banget', 'merekomendasi', 'polisi']",1
"['berlagak', 'endorse', 'beli', 'dimana', 'beli', 'toko', 'nyindir', 'ketawa', 'anjing', 'tolong', 'gua', 'kayak', 'hadeh', 'bodoh', 'banget', 'kocak']",0
"['sensor', 'merek', 'takut', 'perkiraan', 'endorse', 'endorse', 'sayangnya', 'pemalu']",1
"['tugas', 'pas', 'ulasan', 'ulang', 'ohiya', 'sepatutnya']",1
"['proyek', 'gambar', 'bakat', 'instruksi', 'aktris', 'managementartis', 'manager', 'aktor', 'pemotretan', 'influencer', 'endorse', 'endorsement', 'proyek']",1
"['peluang', 'foto', 'produk', 'sisi', 'deskripsi', 'produk', 'lengkap', 'manfaat', 'kandungan', 'terguna', 'dll', 'mempromosikan', 'kupon', 'gabungan', 'jam', 'tertawa', 'cepat', 'tanggap', 'anjuran', 'pelanggan', 'ubah', 'ulasan', 'bintang', 'mengawasi', 'stok', 'pelanggan', 'kecewa', 'beralih', 'batal']",1
"['minyfiimin', 'endorse', 'jalur', 'wibu', 'bimbel', 'gratis']",1
"['kangen', 'ton', 'ikutan', 'lelang', 'daring', 'instagram', 'banget', 'berbayar', 'mempromosikan', 'kepanitiaan', 'kena', 'apes', 'beruntung', 'cerita']",1
"['merekomendasi', 'celebrity', 'cocok', 'endorse', 'baju', 'baju', 'bener', 'bener', 'kerja']",1
"['pikir', 'kotor', 'orang', 'endorse']",0
"['del', 'jual', 'software', 'selebgram', 'menambah', 'follow', 'menyukai', 'dll', 'dipakai', 'seumur', 'hidup', 'tutorialnya', 'yuk']",1
"['pengalaman', 'ulasan', 'udah', 'berpakaian', 'produk', 'dse', 'udah', 'masuk', 'botol', 'rutin', 'terguna', 'produk', 'tekstur', 'kulitku', 'dagu', 'halus', 'bekas', 'jerawat', 'pelan', 'pelan', 'pudar']",1
"['produk', 'produk', 'bantu', 'melewati', 'berjerawat', 'benang', 'pengingkaran', 'produknya', 'ulasan', 'jujur', 'terjangkau', 'dikantong', 'sulit', 'dicari', 'oily', 'sensitif', 'jerawat', 'rentan', 'kulit']",1
"['merekomendasi', 'putih', 'sepatu', 'sepatu', 'bintang', 'ke atas', 'ulasan', 'produk', 'shopee', 'rendah', 'harga', 'sepatu', 'cocok', 'banget', 'berguna', 'kampus', 'menongkrong', 'jalan', 'harga', 'murah', 'kualitas', 'oke', 'desain', 'trendi', 'nyaman', 'dipakai', 'benang']",1
"['orang', 'kesepakatan', 'jam', 'menunggu', 'ruang', 'wisata', 'kasih', 'lihat', 'hotel', 'keren', 'menempati', 'jepang', 'endorse', 'ya', 'kawan', 'heleina', 'terkekeh']",1
"['saudari', 'sosialita', 'model', 'influencer']",1
"['bagas', 'menutup', 'kerja sama', 'kemitraan', 'endorsement', 'desember']",1
"['tolong', 'banget', 'endorse', 'gua', 'uang', 'tambahan', 'nikah']",1
"['minuman', 'suka', 'starbucks', 'nama', 'sensor', 'endorse', 'berharap', 'mencoba', 'menu', 'dimiliki', 'starbucks', 'heran', 'lucu', 'banget', 'ya', 'doa', 'impian', 'terkabulkan']",1
"['tuan', 'manager', 'naraya', 'ofcdi', 'surat', 'lampirkan', 'endorsement', 'girik', 'jilliana', 'eisha', 'naraya', 'pembayaran', 'transfer', 'rekening', 'cantum', 'mengundang', 'jilliana', 'pdf']",1
"['aktif', 'disosial', 'media', 'membuatnya', 'terkenal', 'influencer', 'isu', 'informasi', 'kesehatan', 'vlog', 'pribadi', 'sosial', 'media', 'miliknya']",1
"['berperan', 'pelayan', 'influencer', 'dasar', 'pencuri', 'pemain', 'skateboard', 'x', 'teks']",0
"['endorse', 'gendong', 'bayi', 'mood', 'banget', 'coba', 'menjatuhkan', 'endorse', 'fadiljaidi', 'mood']",1
"['jualan', 'beneran', 'endorse']",1
"['kena', 'endorse']",0
"['perhatian', 'jumat', 'minggu', 'dasar', 'buka', 'follback', 'kirim', 'menfess', 'harap', 'perhatikan', 'status', 'off', 'dasar', 'menfess', 'terkirim', 'pengaduan', 'berbayar', 'mempromosikan', 'menghubungi', 'terima kasih', 'mimin']",1
"['influencer', 'internet', 'dimana', 'ayahanda', 'melarang', 'melaksanakan', 'suka']",1
"['semoga', 'kesehatan', 'cia', 'grup', 'layar', 'parade', 'grup', 'ulasan', 'endorse', 'semangat', 'mengais', 'pundi', 'pundi', 'uang', 'biar', 'bertahan', 'hidup']",1
"['adakah', 'influencer', 'model', 'endorse', 'merek', 'miras', 'proposal', 'tolong', 'jatuhkan', 'kontak', 'dibawah', 'khusus', 'terima', 'kasih']",1
"['pusing', 'banget', 'astaga', 'gempa', 'gliyeng', 'gliyeng', 'endorse', 'besok', 'jam', 'ambil', 'oke', 'cek', 'tolak', 'angin']",0
"['lolos', 'sinta', 'tolong', 'ulasan', 'lambat', 'besok']",1
"['cemburu', 'bahan', 'endorse', 'konten', 'budak']",0
"['halo', 'sahabat', 'ulasan', 'berbeda', 'seburu', 'berbagi', 'ulasan', 'dandan', 'mengirimkan', 'produk', 'kulit', 'permainan', 'bahagia', 'hue', 'cairan', 'memerah', 'nuansa', 'ketawa']",1
"['ngakak', 'banget', 'endorse', 'seminar']",0
"['penjualnya', 'jujur', 'banget', 'endorse', 'jastip', 'buku', 'impor', 'toko', 'sanggup', 'berbagi', 'bisnis', 'toko', 'menurutku', 'penjualnya', 'ramah', 'terpercaya', 'pastinya']",1
"['pengingkaran', 'produk', 'cocok', 'cocok', 'ya', 'jujur', 'ulasan', 'sejujurnya']",1
