word,weight,number_of_words
aahh,-3,1
aamiin,2,1
ab,3,1
aba,2,1
aba-aba,-3,1
abadi,4,1
abah,3,1
abai,-3,1
abaikan,-2,1
abar-abar,-5,1
abdi negara,-3,2
abg,-2,1
abi,2,1
abid,3,1
abis,1,1
abis,-2,1
abnormalitas,-4,1
abolisi,-3,1
abon,-4,1
aborsi,-3,1
absen,-3,1
abses,-4,1
absorpsi,3,1
absorpsi,-1,1
absurd,3,1
absurd,-2,1
abu,3,1
abu,-2,1
abu-abu,-2,1
abuk,-3,1
abur,-5,1
acak,-5,1
acak-acakan,-5,1
acau,-4,1
aco-acoan,-5,1
acoan,-5,1
acu,-4,1
acuh tak acuh,4,3
acuh tak acuh,-3,3
ada,4,1
ada,-3,1
adab,3,1
adakala,3,1
adang,-3,1
adaptasi,2,1
addict,-3,1
adegan,-4,1
adek,1,1
adek,-1,1
adi,2,1
adika,5,1
adiktif,-4,1
adil,4,1
adil,-3,1
adiluhung,3,1
adimarga,-4,1
administrator,3,1
adon,-4,1
adu,-3,1
aduh,1,1
aduh,-3,1
aduhai,4,1
aduk,-3,1
adzan,3,1
afair,3,1
afdal,3,1
afeksi,2,1
afeksi,-2,1
afiliasi,2,1
afiliasi,-4,1
afirmasi,3,1
agam,5,1
agama,-3,1
agar,-3,1
agen,-3,1
agen rahasia,-3,2
Ahad,3,1
ahli agama,1,2
ahli bahasa,-3,2
ahmak,-3,1
aib,1,1
aib,-5,1
aiku,-5,1
ain,-5,1
air,-1,1
air liur,-2,2
aja,1,1
ajak,1,1
ajakan,1,1
ajakan,-3,1
ajal,3,1
ajal,-4,1
ajang,-3,1
ajar,1,1
ajar,-3,1
aji,4,1
aji,-3,1
ajojing,3,1
aju,-3,1
ajudan,4,1
ajuk,-5,1
akar,2,1
akar,-3,1
akas,2,1
akas,-2,1
akhlak,4,1
akibat,1,1
akibat,-3,1
akidah,3,1
akidah,-3,1
akik,-3,1
akil,4,1
akomodasi,3,1
akrab,3,1
akreditasi,-3,1
aksa,-4,1
akses,2,1
aksi,2,1
aksioma,-3,1
aktif,2,1
aktif,-3,1
aktivasi,2,1
aktual,4,1
aku,2,1
aku,-1,1
akuan,3,1
akuan,-3,1
akumah,-3,1
akunya,-1,1
akut,-5,1
alah,-4,1
alahan,-3,1
alai-belai,-3,1
alaikum,2,1
alam,2,1
alam,-1,1
alami,-3,1
alamiah,2,1
alamiah,-3,1
alangkah,4,1
alangkah,-2,1
alat kelamin,-3,2
alat negara,-3,2
alat vital,-2,2
alay,-4,1
album,3,1
album,-2,1
albumnya,-2,1
alergi,-3,1
alhamdulilah,3,1
alhamdulillah,5,1
aliansi,1,1
aliansi,-4,1
alih generasi,4,2
alim,2,1
alim arif,4,2
alir udara,-1,2
aliran udara,-1,2
alkisah,-4,1
alku,-5,1
allah,5,1
alobar,-4,1
alone,-3,1
alot,1,1
alpa,-3,1
alur,-4,1
amah,-5,1
amal,4,1
amalan,4,1
amanah,5,1
amandel,-5,1
amarah,-5,1
amat,4,1
amatin,-2,1
ambai,-5,1
ambalan,-4,1
ambau,-5,1
ambigu,-3,1
ambiguitas,-5,1
ambil,-5,1
ambilan,3,1
ambisi,4,1
amblas,-3,1
ambles,-4,1
ambruk,-5,1
amburadul,-5,1
amerta,3,1
ametis,-4,1
amin,3,1
amin,-3,1
amit,-4,1
amor,2,1
amor,-4,1
amoral,-3,1
ampai,-4,1
ampas,-3,1
ampas kopi,-2,2
ampel,-3,1
ampela,-5,1
amplop,3,1
ampu,-5,1
ampun,1,1
ampun,-3,1
ampuni,-2,1
amtenar,-3,1
amuk,1,1
amuk,-5,1
ana,2,1
ana,-3,1
anak,-3,1
anak Adam,3,2
anak air,-4,2
anak bawang,-2,2
anak bedil,-3,2
anak bukit,-4,2
anak cucu,-3,2
anak didik,3,2
anak penak,-3,2
anak pinak,-3,2
anak sasian,3,2
anak sekolah,3,2
anakan,5,1
anak-anakan,-3,1
analisis,4,1
analitis,-4,1
anarki,-4,1
ancai,-5,1
ancam,-4,1
ancaman,-4,1
anda,-1,1
Anda,-4,1
andai,2,1
andal,5,1
andal,-1,1
andeka,-3,1
andil,4,1
andini,2,1
andur,3,1
aneh,4,1
aneh,-4,1
aneka,3,1
anekdot,2,1
anekdot,-4,1
angan,3,1
angan-angan,4,1
anggai,-3,1
anggapan,3,1
anggar,3,1
anggara,-4,1
anggota,-3,1
angguk,1,1
anggur,-4,1
angguran,-4,1
angin lalu,-5,2
angit,-5,1
angkat,3,1
angkat tangan,-5,2
angkat topi,-4,2
angkatan,-5,1
angkot,-1,1
angkup,-3,1
angkut,1,1
anglo,-4,1
angpau,4,1
angsur,1,1
aniaya,-4,1
animo,4,1
anjak,-3,1
anjay,-3,1
anjay,-5,1
anjeng,-5,1
anjer,-3,1
anjg,-5,1
anjiang,-5,1
anjing,-4,1
anjing,-5,1
anjing tanah,-5,2
anjir,1,1
anjir,-3,1
anjir,-5,1
anjis,-1,1
anjlok,-4,1
anjung,4,1
anjungan,-3,1
anjur,-2,1
anjuran,-2,1
anom,-4,1
ansar,4,1
antagonisme,-4,1
antap,-5,1
antek,-3,1
antem,-4,1
anteng,4,1
anti,-2,1
antipati,2,1
antipati,-3,1
antisipasi,3,1
antisipasi,-1,1
antitesis,-3,1
antologi,1,1
antuk,-4,1
antun,-3,1
antusias,2,1
antusias,-3,1
